"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1792374711445516354","Mon May 20 04:58:06 +0000 2024","0","@jokowi Pening dengan sistem penerimaan siswa baru yang memprioritaskan jarak ke sekolah (Zonasi). Kami yang tinggal di pinggiran jauh dari sekolah negeri out of zone. Lebih enak jaman ORBA sampai Presiden SBY. Lebih fair. Sak karepmulah cc: @ganjarpranowo @mohmahfudmd","1792419504410202211","","jokowi","in","","0","0","0","https://x.com/ReneoPangkep/status/1792419504410202211","1781293826667360256","ReneoPangkep"
"1792381807201251750","Mon May 20 03:16:50 +0000 2024","0","@DKIJakarta Mohon sistem zonasi PPDB DKI jangan menggunakan sistem zona berdasarkan RT RW itu tidak adil keponakan saya hanya jarak 700 meter kalah oleh temannya yang berkarak 1100 meter diukur dengan google map karena ponakan saya di zona 3 tidak satu RW dengan sekolah yang dituju","1792394021131940088","","DKIJakarta","in","","0","0","0","https://x.com/SatyaPutra53806/status/1792394021131940088","1718636607216185344","SatyaPutra53806"
"1792386701542985867","Mon May 20 03:12:57 +0000 2024","1","@Disdik_DKI Mohon sistem zonasi PPDB DKI jangan menggunakan sistem zona berdasarkan RT RW itu tidak adil keponakan saya hanya jarak 700 meter kalah oleh temannya yang berkarak 1100 meter diukur dengan google map karena ponakan saya di zona 3 tidak satu RW dengan sekolah yang dituju","1792393044387664286","","Disdik_DKI","in","","0","1","1","https://x.com/SatyaPutra53806/status/1792393044387664286","1718636607216185344","SatyaPutra53806"
"1792387293161898439","Mon May 20 02:50:06 +0000 2024","0","It's interesting right... Di yues public schoolnya sistem zonasi jadi mana ada yg perjalanan ke sekolahnya 30menit lebih plus di kota2 biasa gak macet majority dianter ortu pake mobil kalo rumahnya agak jauh/masih TK/1st grade gitu. Gue anter ponakan 5 menit driving ","1792387293161898439","","","in","United States","0","1","0","https://x.com/sembilan___tiga/status/1792387293161898439","1298936068444549120","sembilan___tiga"
"1791820598068551976","Sun May 19 17:04:19 +0000 2024","8","@RagilSemar enggak! aku dendam sama kebijakan dia perkara sekolah zonasi gara sistem zonasi aku ngga bisa daftar sklh favoritkuu mana waktu itu dideket rumahku ngga ada sma karena pada jauh semua dan parahnya ternyata byk yg pake domisili palsu dan ngga diproses️","1792239878891339911","","RagilSemar","in","earth","0","4","0","https://x.com/pinkyvers_/status/1792239878891339911","1436183114645049373","pinkyvers_"
"1792162537238401140","Sun May 19 17:01:58 +0000 2024","0","@DKIJakarta Mohon sistem zonasi PPDB tahun 2024 jangan menggunakan zona wilayah berdasarkan RT RW tapi zonasi murni jarak rumah ke sekolah calon siswa supaya adil kemudian untuk program anak guru jangan dibatasi guru yang mengajar di sekolah itu yang penting guru tersebut punya KK DKI","1792239283593789639","","DKIJakarta","in","","0","0","0","https://x.com/SatyaPutra53806/status/1792239283593789639","1718636607216185344","SatyaPutra53806"
"1758290260986036624","Sun May 19 16:42:15 +0000 2024","0","@gibran_tweet Wapresku nanti tolong sistem zonasi sekolah dihapus ya gak penting banget sistem itu","1792234325423075659","","gibran_tweet","in","","0","0","0","https://x.com/kopi_dilla/status/1792234325423075659","1779894764256821248","kopi_dilla"
"1792192700441350321","Sun May 19 13:58:21 +0000 2024","0","maksud gua tuh kek knp harus ada sistem zonasi anjrit?? sistem ter GA GUNA PLS LAH percuma kita pintar nilai tinggi klo yg dipilih ttp aja yg terdekat hello?!","1792193077714846035","","jaeshimjk","in","","0","1","0","https://x.com/jaeshimjk/status/1792193077714846035","1520018911261265920","jaeshimjk"
"1792192742283743317","Sun May 19 13:57:01 +0000 2024","0","Setuju bgt sih jiwa kompetitif generasi muda hilang krn UN dihapus sistem perankingan dihilangin sistem zonasi lah. Gimana skrg anak2 sekolahan jd konsumtif gadget tertinggi kan bikin konten tiktok yg tak berfaedah.","1792192742283743317","","","in","Makassar, Indonesia","0","0","0","https://x.com/husnulhatiimaah/status/1792192742283743317","1068399359648092165","husnulhatiimaah"
"1791491976174637252","Sun May 19 13:15:09 +0000 2024","2","@YayangnyaPickaw @Muslim_AntiPKI9 Emang benar sistem zonasi kacau.. kasihan yg dr keluarga sederhana yg jaraknya ke sekolah nanggung.. terpaksa harus ke swasta yg biaya mahal...","1792182203331624967","","Rien_ajah","in","","0","1","1","https://x.com/MasMadYap/status/1792182203331624967","1603923754358169604","MasMadYap"
"1791491976174637252","Sun May 19 12:55:05 +0000 2024","6","@Muslim_AntiPKI9 Udah dari tahun kapan gw sering ngoceh minta menteri ini di ganti dan banyak orang tua murid juga protes masalah sistem jalur zonasi pada tahun ajaran baru. Menteri goblog !","1792177153125367875","","Muslim_AntiPKI9","in","Bogor Selatan, Indonesia","0","2","1","https://x.com/Rien_ajah/status/1792177153125367875","1529337336504655872","Rien_ajah"
"1792009115927290281","Sun May 19 12:31:45 +0000 2024","1","@Aryprasetyo85 @007koteka @03__nakula @__AnakKolong @Miduk17 @mikuroQ @Muhayya__ @serakyut @seruanhl Tenang pemerintah berencana bangun universitas negeri di seluruh kecamatan di Indonesia. Saat itu baru bisa diterapkan kuliah adalah wajib. Jadi setiap anak wajib kuliah sampai jadi sarjana teknik ekonomi dokter dll. Masuknya pakai sistem zonasi kayak masuk sma/smp negeri.","1792171282286690583","","Aryprasetyo85","in","Indonesia","0","0","0","https://x.com/Ad1winat4/status/1792171282286690583","78754224","Ad1winat4"
"1791829306538336412","Sun May 19 11:38:03 +0000 2024","0","@Neonboxyellow @PartaiSocmed @jokowi Memang kebutuhan tersier. Masak setiap orang harus wajib jadi sarjana teknik ekonomi atau kedokteran ? Itu semua pilihan. Jika itu diwajibkan tentu negara harus bangun banyak Kampus Negeri dan masuknya harus sistem zonasi seperti masuk sma atau smp negeri.","1792157767601627309","","Neonboxyellow","in","Indonesia","0","0","0","https://x.com/Ad1winat4/status/1792157767601627309","78754224","Ad1winat4"
"1792025553043890617","Sun May 19 10:45:28 +0000 2024","0","@MerrMagda Dan satu hal lagi korupsi bakal tambah merjalela di dunia pendidikan inget awal penerapan sistem zonasi","1792144534488678665","","suksksk","in","","0","1","0","https://x.com/suksksk/status/1792144534488678665","1208362530394927112","suksksk"
"1792028616278311020","Sun May 19 03:13:14 +0000 2024","2","@mrshanbaobao Nggak jelas emang... dosanya dia ke anak2 bangsa ini besar bgt sih.. belum yg sekolah sistem zonasi.. maunya sekolah jd setara g ada sekolah favorit tp sekolahnya g disiapin untuk bs ngasih kesetaraan itu.. Entah apa yg mereka mau mangkas biaya mungjin BU bgt ini negara bjir","1792030725858070912","","mrshanbaobao","in","","0","1","0","https://x.com/middeude/status/1792030725858070912","1670565301","middeude"
"1791820598068551976","Sun May 19 02:03:12 +0000 2024","1","@RagilSemar Jujur setelah banyak ngobrol sama ibu-ibu yang banyak keluhan yang tentang orang ini dimana gaya pola pendidikan sekarang bisa dikatak ruwet kayak harus sistem zonasi terus gak ada lagi ranking dikelas kayak gimana yaa aneh aja","1792013102692884820","","RagilSemar","in","Work Hour : 11 am - 11 pm","0","0","1","https://x.com/NebullaShop/status/1792013102692884820","1525915250658136064","NebullaShop"
"1791820598068551976","Sun May 19 00:09:21 +0000 2024","0","@RagilSemar Dia kerjanya apa sih? Sistem pendidikan juga morat marit!!!! Berefek banget ke adek aku salah satunya sistem zonasi sialan!!!","1791984450517274625","","RagilSemar","in","","0","0","0","https://x.com/kumis_miow/status/1791984450517274625","1171438430","kumis_miow"
"1791448554760028575","Sat May 18 23:19:31 +0000 2024","0","@DrEvaChaniago Kembalikan jaman bayar SPP aja toh sekolah gratis sama aja ada kas kelas iuran kegiatan ..masuk sekolah pakai Ujian Nasional sistem zonasi dll dihilangkan saja. Toh zonasi juga jadi mainan cari duit para oknum kasihan anak anak yg pintar tapi orang tuanya di kelas menengah.","1791971913188958428","","DrEvaChaniago","in","jogjakarta, indonesia","0","0","0","https://x.com/tresty17/status/1791971913188958428","97404660","tresty17"
"1791821388938195094","Sat May 18 13:21:24 +0000 2024","1","setelah memperdalam sistem ppdb sekarang ternyata sistem pake NEM dulu itu emang yang paling efisien sih. dengan sistem zonasi / umur sekarang tuh pemerintah mau ngebuat ga ada lagi sekolah favorit / non favorit. tapi kenyataannya smabel sama sma 8 ttp jadi yang favorit ah.","1791821388938195094","","","in","","0","1","1","https://x.com/didnttouchme/status/1791821388938195094","208494092","didnttouchme"
"1791812788953948357","Sat May 18 12:47:33 +0000 2024","0","katanya meratakan pendidikan dengan sistem zonasi","1791812873024586051","","sp0tifie","in","all e-walet","0","1","0","https://x.com/sp0tifie/status/1791812873024586051","1327207654175883266","sp0tifie"
"1791791096072437905","Sat May 18 11:58:37 +0000 2024","0","@JPFBASE Karena di jepang ada sistem zonasi","1791800557092716975","","JPFBASE","in","Grand Line ","0","0","0","https://x.com/temenpetrik/status/1791800557092716975","1144139833817743360","temenpetrik"
"1791791096072437905","Sat May 18 11:49:48 +0000 2024","1","@JPFBASE Di jepang pake sistem zonasi setauku","1791798338184151225","","JPFBASE","in","💎☃️🌈Aぇ!","0","0","0","https://x.com/hokkunasakuna/status/1791798338184151225","1265863592370253824","hokkunasakuna"
"1791791096072437905","Sat May 18 11:43:51 +0000 2024","0","@JPFBASE aku prnah dgr ada org ngomong di jepang pendidikan dasarnya sistem zonasi nder. jd kaya miskin ambilnya yg plg dkt rumah (cmiiw)","1791796841748840645","","JPFBASE","in","dhan's baby","0","0","0","https://x.com/shionotabeta/status/1791796841748840645","1697978270074175489","shionotabeta"
